"20191014_Toxoplasma_TMT_FullExperiment, 126C:126C.127C.127N, ctrl.turbo.rah.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 127N:126C.127C.127N, ctrl.turbo.cyto.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 127C:126C.127C.127N, ctrl.noturbo.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 128N:126C.127C.127N, turborah.toxo.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 128C:126C.127C.127N, turborah.mock.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 129N:126C.127C.127N, turborah.toxo.r2:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 129C:126C.127C.127N, turborah.mock.r2:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 130N:126C.127C.127N, turborah.toxo.r3:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 130C:126C.127C.127N, turbocyto.toxo.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 131N:126C.127C.127N, turborah.toxo.r4:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 131C:126C.127C.127N, turbocyto.toxo.r2:control.mean"	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191014_Toxoplasma_TMT_FullExperiment unique_peptides	20191014_Toxoplasma_TMT_FullExperiment numSpectra	20191014_Toxoplasma_TMT_FullExperiment totalIntensity	20191014_Toxoplasma_TMT_FullExperiment pct_cov
0	1.076	-0.661	2.781	2.716	2.822	2.846	2.765	5.25	2.84	5.263	O75369-8	O75369-8	1	102	71	54	O75369-8|O75369|O75369-9|O75369-2|O75369-3|O75369-6|O75369-4|O75369-5|O75369-7|E7EN95|A0A0A0MT44	HUMAN	283797.6	32.7	4	4.3	1160.22	871.14	Isoform 8 of Filamin-B	54	102	9.27E+09	28.60%
0	1.416	-3.326	1.771	1.943	1.615	1.874	1.991	3.402	1.677	3.62	P35579	P35579	1	1520	254	212	P35579|P35579-2|Q5BKV1|A0A0C4DFM8|A1L2Z2|A0A087X0T3|A7E2Y1|P11055|Q9UKX3|P13533|P12882|Q9UKX2|Q9Y623|P12883|P13535	HUMAN	227783.5	78.4	5	5.1	4603.03	3883.88	Myosin-9	257	1520	2.37E+12	78.40%
0	1.142	-3.839	1.93	2.023	1.755	1.931	2.034	2.867	1.753	3.157	P35580	P35580	1	516	198	156	P35580|P35580-3|P35580-2|P35580-5|P35580-4	HUMAN	229964.9	70.7	5	5.2	3376.74	2677.8	Myosin-10	156	516	2.39E+11	58.10%
0	1.111	-0.905	2.628	2.558	2.855	2.69	2.613	4.575	2.55	4.762	P35749-2	P35749-2	1	3	40	3	P35749-2|P35749|P35749-3|P35749-4	HUMAN	228941.8	17.1	5	5.3	630.65	42.3	Isoform 2 of Myosin-11	3	3	4.00E+07	2.10%
0	0.025	-1.115	4.554	4.417	4.619	4.745	4.654	4.529	4.629	4.676	Q14789-2	Q14789-2	1	752	251	3	Q14789-2|F8WF12	HUMAN	378557.2	69.4	6	6.1	4328.09	70.72	Isoform 2 of Golgin subfamily B member 1	251	752	1.85E+11	69.60%
											Q14789	Q14789	1	2	250	1	Q14789	HUMAN	377438.9	69.3	6	6.2	4305.06	28.06	Golgin subfamily B member 1	1	2	1.31E+08	0.90%
	0.09		3.386	3.118	3.372	4.454	3.44	1.671	3.629	2.071	Q14789-4	Q14789-4	1	3	247	2	Q14789-4	HUMAN	368842.6	69.2	6	6.3	4241.66	38.61	Isoform 4 of Golgin subfamily B member 1	2	3	3.58E+08	1.10%
0	1.074	-0.799	3.271	3.438	3.392	3.578	3.401	5.813	3.342	5.837	Q03001	Q03001	1	527	263	67	Q03001|F8W9J4|Q03001-14|Q03001-9|Q6P0N6|Q03001-13|Q03001-10|Q03001-12	HUMAN	865781.3	42.4	7	7.1	4257.36	1201.48	Dystonin	263	527	4.90E+10	42.40%
0	0.833	-0.313	2.977	2.825	2.808	2.959	2.79	4.878	2.83	5.012	F6QMI7	F6QMI7	1	6	200	4	F6QMI7|E9PHM6|Q03001-8|Q03001-11	HUMAN	636850.7	41.8	7	7.2	3097.77	41.89	Dystonin	4	6	1.09E+09	0.80%
0	1.107	-0.653	3.148	3.263	3.232	3.27	3.179	5.662	3.227	5.774	H3BQK9	H3BQK9	1	235	158	152	H3BQK9|H3BPE1|Q9UPN3|Q9UPN3-2|Q9UPN3-3|Q9UPN3-4|Q9UPN3-5|E9PLY0	HUMAN	866539.7	24.9	7	7.3	2366.4	2268.75	Microtubule-actin cross-linking factor 1 isoforms 1/2/3/5	152	235	1.89E+10	24.20%
	0.998		3.74	4.233	4.139	3.848	3.692	3.541	3.827	3.606	Q03001-3	Q03001-3	1	1	37	1	Q03001-3	HUMAN	309146	17.5	7	7.4	592.3	8.79	Isoform 3 of Dystonin	1	1	7180000	0.40%
0	1.07	-0.752	3.83	4.232	3.848	4.476	3.888	6.1	3.876	6.149	Q8IVF2-3	Q8IVF2-3	1	526	220	219	Q8IVF2-3|Q8IVF2|Q8IVF2-2	HUMAN	606664.8	49	8	8.1	3678.93	3668.74	Isoform 3 of Protein AHNAK2	219	526	1.27E+11	50.10%
0	0.262	-0.428	0.087	-2.056	0.187	-1.959	0.323	1.107	0.248	1.073	TGGT1_221320-t26_1-p1	TGGT1_221320	1	930	212	212	TGGT1_221320-t26_1-p1	Toxoplasma_gondii_GT1	288944.6	69.5	9	9.1	3636.94	3636.94	TGGT1_221320	212	930	5.68E+11	69.50%
0	0.739	-0.697	3.187	3.213	3.369	3.352	3.441	4.73	3.333	4.861	Q14204	Q14204	1	541	217	217	Q14204	HUMAN	535136.6	53.9	10	10.1	3574.81	3574.81	Cytoplasmic dynein 1 heavy chain 1	217	541	9.75E+10	53.90%
0	0.767	-1.041	3.14	3.003	3.322	3.212	3.372	5.192	3.292	5.242	P78527	P78527	1	472	190	190	P78527|P78527-2	HUMAN	474044.1	46.5	11	11.1	3008.99	3008.99	DNA-dependent protein kinase catalytic subunit	190	472	7.97E+10	46.50%
0.857	-0.072	0	0.068	0.476	0.467	0.827	-0.186	0.381	-0.09	0.686	P02751	P02751	1	718	154	154	P02751|P02751-3|P02751-17|P02751-8|P02751-14|P02751-15|P02751-7|P02751-9|P02751-6|P02751-5|P02751-10|P02751-11|P02751-13|P02751-4|P02751-12|P02751-16|P02751-2	HUMAN	266214.2	69.3	12	12.1	2977.09	2977.09	Fibronectin	154	718	6.94E+11	69.30%
0	1.045	-0.779	3.193	3.077	3.22	3.328	3.279	5.702	3.238	5.803	Q9Y490	Q9Y490	1	616	148	132	Q9Y490	HUMAN	271930.4	70.9	13	13.1	2886.33	2628.64	Talin-1	148	616	2.01E+11	70.90%
0	0.879	-0.974	2.677	2.809	2.732	2.888	2.814	4.698	2.718	4.86	Q9Y4G6	Q9Y4G6	1	36	39	23	Q9Y4G6|A0A1B0GVU7|H0YN01	HUMAN	273947.6	21.2	13	13.2	624.53	366.84	Talin-2	23	36	1.16E+09	15.80%
0	0.182	-0.488	4.682	4.758	4.708	5.05	4.906	4.248	4.82	4.427	Q07954	Q07954	1	469	155	155	Q07954|Q6PJ72|Q7Z7K9|Q07954-2	HUMAN	523482.6	39	14	14.1	2789.67	2789.67	Prolow-density lipoprotein receptor-related protein 1	155	469	1.48E+11	39.00%
0	1.636	-0.501	2.948	2.933	3.054	3.06	3.136	6.236	3.104	6.174	Q9NR09	Q9NR09	1	446	145	145	Q9NR09	HUMAN	536521.4	40.7	15	15.1	2771.77	2771.77	Baculoviral IAP repeat-containing protein 6	145	446	1.03E+11	40.70%
0.283	0	-0.757	5.109	4.952	5.177	5.308	5.238	4.331	5.143	4.476	Q15643	Q15643	1	516	160	160	Q15643	HUMAN	228267	70.5	16	16.1	2710.82	2710.82	Thyroid receptor-interacting protein 11	160	516	1.46E+11	70.50%
0	1.159	-0.805	3.032	3.041	3.166	3.236	3.226	6.242	3.188	6.301	P49792	P49792	1	487	142	104	P49792|F8WBP7	HUMAN	362585.9	51	17	17.1	2521.29	1899.98	E3 SUMO-protein ligase RanBP2	142	487	1.08E+11	51.00%
	1.639		4.213	3.988	3.832	4.227	4.12	6.789	4.18	6.779	O14715	O14715	1	3	53	1	O14715|J3KQ37|F8W705|Q99666-2|Q7Z3J3-2|H7BZ48	HUMAN	200301.5	33.6	17	17.2	880.04	16.57	RANBP2-like and GRIP domain-containing protein 8	1	3	35400000	0.60%
	1.654		3.425	3.004	3.381	3.044	3.55	6.401	3.511	6.657	Q99666	Q99666	1	1	50	1	Q99666	HUMAN	200232.3	30.2	17	17.3	808.03	15.87	RANBP2-like and GRIP domain-containing protein 5/6	1	1	3.49E+08	0.70%
0	0.556	-1.016	3.788	3.415	3.862	3.813	3.915	5.068	3.895	5.267	Q8IWJ2	Q8IWJ2	1	31	23	21	Q8IWJ2	HUMAN	196990.2	14.7	17	17.4	334.02	291.13	GRIP and coiled-coil domain-containing protein 2	21	31	6.23E+09	12.80%
0	1.309	-0.514	3.211	3.247	3.309	3.442	3.461	6.664	3.398	6.771	P46821	P46821	1	474	121	119	P46821|D6RCL2	HUMAN	271827.6	57	18	18.1	2386.18	2349.73	Microtubule-associated protein 1B	121	474	2.06E+11	57.00%
0	1.332	-0.539	2.987	2.907	3.087	3.063	3.153	5.998	3.059	6.124	E9PGC8	E9PGC8	1	167	76	74	E9PGC8|P78559-2|P78559	HUMAN	332906.7	29	18	18.2	1249.89	1213.44	Microtubule-associated protein 1A	74	167	1.95E+10	28.20%
0	0	0	0.484	0.451	0.528	0.413	0.632	1.334	0.549	1.26	Q13085	Q13085	1	517	135	121	Q13085|Q13085-4|Q13085-2|Q13085-3|A0A087WYK6|A0A087X126|A0A087X2F8	HUMAN	267260.7	62.5	19	19.1	2352.7	2119.84	Acetyl-CoA carboxylase 1	135	517	1.50E+11	62.50%
0	0.238	-0.553	0.417	-0.739	0.511	-0.717	0.635	1.54	0.542	1.513	TGGT1_218560-t26_1-p1	TGGT1_218560	1	222	106	105	TGGT1_218560-t26_1-p1	Toxoplasma_gondii_GT1	368780.9	37.2	19	19.2	1662.34	1642.04	TGGT1_218560	105	222	5.41E+10	36.80%
0	0.06	-0.357	0.818	1.082	1.03	1.097	1.026	1.806	0.895	1.795	O00763	O00763	1	63	49	36	O00763|O00763-3|O00763-2|F8W8T8	HUMAN	278532.8	23.7	19	19.3	724.64	512.08	Acetyl-CoA carboxylase 2	36	63	4.59E+09	17.80%
0.374	0	-0.651	4.559	4.698	4.726	4.861	4.814	3.714	4.682	3.912	Q8WYP5-2	Q8WYP5-2	1	448	114	114	Q8WYP5-2|Q8WYP5-3|Q8WYP5	HUMAN	258049.6	55.3	20	20.1	2175.96	2175.96	Isoform 2 of Protein ELYS	114	448	1.26E+11	55.30%
0	0.451	-0.511	4.524	4.537	4.587	4.778	4.64	5.242	4.631	5.275	Q08378	Q08378	1	377	116	116	Q08378|Q08378-2|Q08378-4	HUMAN	167865.2	69.2	21	21.1	2050.83	2050.83	Golgin subfamily A member 3	116	377	9.08E+10	69.20%
1.032	-0.344	0	1.117	1.511	1.424	1.589	0.955	1.512	1.104	1.569	P12111	P12111	1	328	124	124	P12111|P12111-2|P12111-4|E7ENL6|P12111-5|P12111-3	HUMAN	345374.6	45.9	22	22.1	2005.07	2005.07	Collagen alpha-3(VI) chain	124	328	6.16E+10	45.90%
0	0.262	-0.99	4.316	4.39	4.337	4.679	4.446	4.334	4.355	4.425	Q9NZM1	Q9NZM1	1	303	115	115	Q9NZM1|Q9NZM1-6|Q9NZM1-3|Q9NZM1-2|Q9NZM1-5|Q9NZM1-7|Q9NZM1-8|Q9NZM1-4|O75923-13|O75923-7|O75923-8|O75923-2|O75923-10|O75923-11|O75923-4|O75923-5|O75923-12|O75923-6|O75923-14|O75923|O75923-9|O75923-3|O75923-15	HUMAN	236244.8	58.8	23	23.1	1928.86	1928.86	Myoferlin	115	303	6.30E+10	58.80%
0	0.748	-0.802	3.702	3.628	3.754	3.734	3.811	5.56	3.768	5.645	Q68DQ2	Q68DQ2	1	235	108	108	Q68DQ2|Q68DQ2-1|Q68DQ2-2	HUMAN	333308.2	48.8	24	24.1	1875.42	1875.42	Very large A-kinase anchor protein	108	235	2.54E+10	48.80%
0	1.979	-0.553	3.594	3.079	3.713	3.321	3.757	6.327	3.701	6.5	E7EVA0	E7EVA0	1	458	100	13	E7EVA0|P27816-2|P27816-4|F8W9U4|P27816-7|P27816-3	HUMAN	246695.2	42	25	25.1	1863.31	187.01	Microtubule-associated protein	100	458	3.11E+11	41.30%
											P27816	P27816	1	2	87	1	P27816|P27816-6	HUMAN	121516.3	73	25	25.2	1687.58	21.65	Microtubule-associated protein 4	1	2	1.05E+08	3.40%
0	0.823	-1.285	2.978	2.827	3.146	2.608	3.032	5.182	3.082	5.18	P27816-5	P27816-5	1	2	45	1	P27816-5	HUMAN	85536.1	57.3	25	25.3	817.87	17.18	Isoform 5 of Microtubule-associated protein 4	1	2	3.30E+08	1.60%
0.022	0.013	-0.609	4.952	5.146	5.004	5.355	5.249	4.964	5.074	5.053	Q9UM54-6	Q9UM54-6	1	527	110	1	Q9UM54-6|E7EW20|Q9UM54|Q9UM54-1|Q9UM54-4|A0A0D9SGC1	HUMAN	150025.6	73.7	26	26.1	1850.57	11.67	Isoform 6 of Unconventional myosin-VI	110	527	3.79E+11	73.70%
0.261	0.427	-1.059	3.298	3.555	3.261	4.546	3.54	3.618	3.465	3.97	A0A0A0MRM8	A0A0A0MRM8	1	2	110	1	A0A0A0MRM8|Q9UM54-2|Q9UM54-5	HUMAN	146382.5	75	26	26.2	1847.73	8.83	Unconventional myosin-VI	1	2	2.55E+08	0.70%
0	0.955	-0.775	3.808	3.78	3.988	3.881	4.022	5.358	3.923	5.38	O75165	O75165	1	321	106	106	O75165	HUMAN	256692.5	48	27	27.1	1783.9	1783.9	DnaJ homolog subfamily C member 13	106	321	6.07E+10	48.00%
0	1.278	-0.628	4.22	4.745	4.28	4.744	4.162	4.585	4.314	4.565	O95613	O95613	1	218	116	116	O95613|O95613-2	HUMAN	380826.2	38	28	28.1	1768.86	1768.86	Pericentrin	117	218	2.05E+10	38.00%
0	0.381	-0.472	3.215	3.299	3.347	3.479	3.356	3.896	3.307	4.101	Q14980	Q14980	1	255	104	104	Q14980|Q14980-2|A0A087WY61|Q14980-3|Q14980-4|Q14980-5	HUMAN	239339.3	54.3	29	29.1	1734.76	1734.76	Nuclear mitotic apparatus protein 1	104	255	3.23E+10	54.30%
0	1.585	-0.519	3.602	3.204	3.663	3.31	3.69	6.016	3.622	6.05	P48681	P48681	1	290	94	94	P48681	HUMAN	177892.1	59.2	30	30.1	1683.46	1683.46	Nestin	94	290	1.11E+11	59.20%
0	0.62	-0.715	4.223	4.294	4.278	4.587	4.442	5.159	4.415	5.27	Q13439	Q13439	1	194	109	109	Q13439|Q13439-3|Q13439-5|Q13439-4|A0A087WTW2|Q86W71	HUMAN	262048.4	47.8	31	31.1	1637.42	1637.42	Golgin subfamily A member 4	110	194	4.66E+10	47.80%
0	2.046	-0.575	3.624	3.202	3.618	3.456	3.687	6.199	3.701	5.971	P08670	P08670	1	1160	86	80	P08670|B0YJC4|B0YJC5|P41219-2|P41219|P07197|E7ESP9|E7EMV2|P07197-2|P12036|P12036-2|P07196	HUMAN	53707.8	95.2	32	32.1	1631.78	1534.81	Vimentin	88	1160	2.01E+13	95.20%
0	0.811	-0.996	3.139	2.916	3.327	3.077	3.437	4.745	3.309	4.665	P17661	P17661	1	61	36	29	P17661	HUMAN	53591.9	67.4	32	32.2	577.53	460.61	Desmin	29	61	1.97E+10	60.20%
0	1.655	0	2.795	2.561	2.95	2.818	2.843	5.575	2.935	5.634	P08729	P08729	1	81	32	29	P08729|A0A1W2PRP1	HUMAN	51441.8	62.2	32	32.3	504.86	463.72	Keratin type II cytoskeletal 7	29	81	2.16E+10	58.80%
0	1.749	-0.628	2.993	2.682	2.878	2.648	2.861	5.187	3.222	5.232	Q16352	Q16352	1	7	6	4	Q16352	HUMAN	55560.8	13.4	32	32.4	95.76	58.65	Alpha-internexin	4	7	95600000	11.00%
0.687	-0.183	0	0.379	0.782	0.752	1.082	0.241	0.872	0.358	1.229	P98160	P98160	1	230	98	98	P98160	HUMAN	479547.8	31.2	33	33.1	1598.6	1598.6	Basement membrane-specific heparan sulfate proteoglycan core protein	98	230	3.24E+10	31.20%
0	1.016	-0.461	2.699	2.676	2.793	2.883	2.935	6.129	2.814	6.223	E9PMS6	E9PMS6	1	245	85	5	E9PMS6|E9PMT2|Q8WWI1-5|A0A0A0MTE2	HUMAN	146105.4	69.6	34	34.1	1465.94	74.56	LIM domain only protein 7	85	245	5.43E+10	69.60%
0	1.43	-0.147	3.013	3.034	3.329	3.276	3.162	6.521	3.031	6.553	F8WD26	F8WD26	1	17	84	4	F8WD26|Q8WWI1|J3KP06|Q8WWI1-2|Q8WWI1-4	HUMAN	187373.3	54.9	34	34.2	1472.39	81.01	LIM domain only protein 7	4	17	4.15E+09	3.40%
0	1.08	-0.58	3.455	3.266	3.674	3.443	3.643	5.883	3.663	5.874	Q8N3C0	Q8N3C0	1	205	92	92	Q8N3C0|Q8N3C0-4|Q8N3C0-3|J3KNJ4	HUMAN	253053.3	48.9	35	35.1	1471.83	1471.83	Activating signal cointegrator 1 complex subunit 3	92	205	3.05E+10	48.90%
0.899	0	-0.479	5.309	5.361	5.263	5.621	5.447	3.648	5.34	3.969	P49790	P49790	1	387	77	2	P49790|P49790-2	HUMAN	155533.1	58.4	36	36.1	1447.55	40.06	Nuclear pore complex protein Nup153	77	387	3.08E+11	58.40%
	0.386	-0.388	1.872	1.706	1.842	1.747	1.7	2.064	1.797	2.387	P49790-3	P49790-3	1	1	76	1	P49790-3	HUMAN	158989.2	56.9	36	36.2	1421.36	13.87	Isoform 3 of Nuclear pore complex protein Nup153	1	1	24800000	1.10%
0.352	0	-1.404	4.147	4.403	4.197	4.586	4.486	4.972	4.333	4.894	Q16666	Q16666	1	624	79	79	Q16666|Q16666-2|Q16666-3|Q16666-6|A0A0A0MRB1|Q6K0P9|Q6K0P9-2|Q6K0P9-3|Q6K0P9-4|Q6K0P9-5|Q6K0P9-6	HUMAN	88710.4	69.4	37	37.1	1413.7	1413.7	Gamma-interferon-inducible protein 16	79	624	1.13E+12	69.40%
0.752	0	-0.796	4.426	4.672	4.456	4.813	4.632	3.016	4.602	3.286	P02545	P02545	1	423	85	83	P02545|P02545-3|P02545-6|P02545-2|P02545-4|P02545-5|Q3BDU5|Q5TCI8	HUMAN	74423.5	75.7	38	38.1	1398.45	1366.57	Prelamin-A/C	85	423	5.13E+11	75.70%
1.213	0	-0.678	5.096	5.241	5.097	5.45	5.35	3.265	5.34	3.608	P20700	P20700	1	198	61	53	P20700|E9PBF6|A0A0D9SFE5	HUMAN	66692.5	76.6	38	38.2	1034.77	931.24	Lamin-B1	53	198	9.09E+10	71.30%
1.197	0	-0.917	4.592	4.689	4.601	4.871	4.676	3.289	4.638	3.388	Q03252	Q03252	1	123	53	45	Q03252	HUMAN	70061.3	64.6	38	38.3	809.87	706.34	Lamin-B2	45	123	3.96E+10	58.50%
0	1.187	-0.988	3.182	3.443	3.339	3.712	3.389	5.644	3.365	5.704	Q13813-3	Q13813-3	1	141	85	85	Q13813-3|A0A0D9SF54|Q13813|A0A0D9SGF6|Q13813-2	HUMAN	283075.4	42.1	39	39.1	1385.18	1385.18	Isoform 3 of Spectrin alpha chain non-erythrocytic 1	85	141	1.15E+10	42.10%
-0.305	0	0.027	0.464	0.586	0.578	0.642	0.633	1.396	0.579	1.421	P11498	P11498	1	469	77	76	P11498|P11498-2|E9PRE7|E9PS68	HUMAN	130372.9	75.5	40	40.1	1383.72	1365.02	Pyruvate carboxylase mitochondrial	77	469	3.74E+11	75.50%
0	0.246	-0.22	0.462	-1.335	0.62	-1.409	0.729	1.628	0.702	1.631	TGGT1_284190-t26_1-p1	TGGT1_284190	1	390	69	69	TGGT1_284190-t26_1-p1	Toxoplasma_gondii_GT1	153161.7	60.5	40	40.2	1316.65	1302.11	TGGT1_284190	69	390	1.89E+11	60.50%
0	0.715	-0.69	3.089	3.038	3.2	3.138	3.198	4.833	3.149	4.879	Q92616	Q92616	1	167	89	89	Q92616	HUMAN	295149.3	42.3	41	41.1	1382.79	1382.79	eIF-2-alpha kinase activator GCN1	89	167	1.18E+10	42.30%
0	1.205	-0.695	3.221	3.312	3.365	3.527	3.442	6.008	3.435	6.142	Q9C0C2	Q9C0C2	1	247	74	74	Q9C0C2|Q9C0C2-2|E9PKK0	HUMAN	182819.3	61.5	42	42.1	1366.35	1366.35	182 kDa tankyrase-1-binding protein	74	247	6.00E+10	61.50%
0.034	0	-1.026	4.367	4.409	4.366	4.807	4.529	4.335	4.476	4.406	Q9P2E9	Q9P2E9	1	265	80	79	Q9P2E9|A0A0A0MRV0|Q9P2E9-2|Q9P2E9-3|A0A087WVV2|F8W7S5|A0A087WU26	HUMAN	152868.9	51.6	43	43.1	1354.55	1336.82	Ribosome-binding protein 1	80	265	1.02E+11	51.60%
0	1.051	-0.692	4.216	4.603	4.226	4.514	4.083	4.778	4.338	4.843	Q8N4C6-7	Q8N4C6-7	1	38	29	28	Q8N4C6-7|Q8N4C6-10|Q8N4C6|Q8N4C6-2|C9J066|Q8N4C6-4|Q8N4C6-5|Q8N4C6-9|E9PN67|Q8N4C6-11|Q8N4C6-6	HUMAN	250243.4	17.2	43	43.2	423.05	405.32	Isoform 7 of Ninein	28	38	1.42E+09	16.80%
0	0	-0.661	4.635	4.669	4.826	4.897	4.837	4.209	4.81	4.357	P11717	P11717	1	188	77	77	P11717	HUMAN	281330.5	37.6	44	44.1	1333.7	1333.7	Cation-independent mannose-6-phosphate receptor	77	188	2.92E+10	37.60%
