"20191014_Toxoplasma_TMT_FullExperiment, 126C, ctrl.turbo.rah.nobiotin"	"20191014_Toxoplasma_TMT_FullExperiment, 127N, ctrl.turbo.cyto.nobiotin"	"20191014_Toxoplasma_TMT_FullExperiment, 127C, ctrl.noturbo.nobiotin"	"20191014_Toxoplasma_TMT_FullExperiment, 128N, turborah.toxo.r1"	"20191014_Toxoplasma_TMT_FullExperiment, 128C, turborah.mock.r1"	"20191014_Toxoplasma_TMT_FullExperiment, 129N, turborah.toxo.r2"	"20191014_Toxoplasma_TMT_FullExperiment, 129C, turborah.mock.r2"	"20191014_Toxoplasma_TMT_FullExperiment, 130N, turborah.toxo.r3"	"20191014_Toxoplasma_TMT_FullExperiment, 130C, turbocyto.toxo.r1"	"20191014_Toxoplasma_TMT_FullExperiment, 131N, turborah.toxo.r4"	"20191014_Toxoplasma_TMT_FullExperiment, 131C, turbocyto.toxo.r2"	"20191014_Toxoplasma_TMT_FullExperiment, 126C.127C.127N, control.mean"	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191014_Toxoplasma_TMT_FullExperiment unique_peptides	20191014_Toxoplasma_TMT_FullExperiment numSpectra	20191014_Toxoplasma_TMT_FullExperiment totalIntensity	20191014_Toxoplasma_TMT_FullExperiment pct_cov
158113	14698		1538169	1393500	1615721	3342548	1676286	372851	1965547	500504	13808	Q14789-4	Q14789-4	1	3	247	2	Q14789-4	HUMAN	368842.6	69.2	6	6.3	4241.66	38.61	Isoform 4 of Golgin subfamily B member 1	2	3	3.58E+08	1.10%
12628935	32388887	6523461	136677700	157130390	152832120	173669830	152530250	913614880	150997268	964064688	12924712	Q03001	Q03001	1	527	263	67	Q03001|F8W9J4|Q03001-14|Q03001-9|Q6P0N6|Q03001-13|Q03001-10|Q03001-12	HUMAN	865781.3	42.4	7	7.1	4257.36	1201.48	Dystonin	263	527	4.90E+10	42.40%
164390	366708	62788	1838495	1562548	1432329	1955257	1579106	10515508	1268796	10029254	171220	F6QMI7	F6QMI7	1	6	200	4	F6QMI7|E9PHM6|Q03001-8|Q03001-11	HUMAN	636850.7	41.8	7	7.2	3097.77	41.89	Dystonin	4	6	1.09E+09	0.80%
6256315	13332134	3048421	52640822	55848064	55453928	59985169	57257833	309057904	57585736	323100377	6055338	H3BQK9	H3BQK9	1	235	158	152	H3BQK9|H3BPE1|Q9UPN3|Q9UPN3-2|Q9UPN3-3|Q9UPN3-4|Q9UPN3-5|E9PLY0	HUMAN	866539.7	24.9	7	7.3	2366.4	2268.75	Microtubule-actin cross-linking factor 1 isoforms 1/2/3/5	152	235	1.89E+10	24.20%
2704	5399		36132	50835	47631	38941	34947	31469	38385	32931	2704	Q03001-3	Q03001-3	1	1	37	1	Q03001-3	HUMAN	309146	17.5	7	7.4	592.3	8.79	Isoform 3 of Dystonin	1	1	7180000	0.40%
16824281	48125428	9105252	327516260	468708782	332228126	580182252	340592683	1738436879	339241682	1833887864	17924659	Q8IVF2-3	Q8IVF2-3	1	526	220	219	Q8IVF2-3|Q8IVF2|Q8IVF2-2	HUMAN	606664.8	49	8	8.1	3678.93	3668.74	Isoform 3 of Protein AHNAK2	219	526	1.27E+11	50.10%
1093434464	1310284833	807755455	999058902	145208303	1061524630	202525662	1190219492	2029476437	1146024211	2032064382	1089058616	TGGT1_221320-t26_1-p1	TGGT1_221320	1	930	212	212	TGGT1_221320-t26_1-p1	Toxoplasma_gondii_GT1	288944.6	69.5	9	9.1	3636.94	3636.94	TGGT1_221320	212	930	5.68E+11	69.50%
24205093	43215500	13211429	244495507	245905805	275868543	282737846	290068328	686899543	272224957	742331387	24509137	Q14204	Q14204	1	541	217	217	Q14204	HUMAN	535136.6	53.9	10	10.1	3574.81	3574.81	Cytoplasmic dynein 1 heavy chain 1	217	541	9.75E+10	53.90%
23769559	40169248	9258014	218594083	195293904	246085048	228754314	255137925	905662845	240943745	937598600	22677328	P78527	P78527	1	472	190	190	P78527|P78527-2	HUMAN	474044.1	46.5	11	11.1	3008.99	3008.99	DNA-dependent protein kinase catalytic subunit	190	472	7.97E+10	46.50%
1729914803	731191508	843736112	653212516	914378448	884615364	1289566621	534430830	666864763	582635014	888733237	875955614	P02751	P02751	1	718	154	154	P02751|P02751-3|P02751-17|P02751-8|P02751-14|P02751-15|P02751-7|P02751-9|P02751-6|P02751-5|P02751-10|P02751-11|P02751-13|P02751-4|P02751-12|P02751-16|P02751-2	HUMAN	266214.2	69.3	12	12.1	2977.09	2977.09	Fibronectin	154	718	6.94E+11	69.30%
25090513	59570280	13063649	253690822	237653100	257938567	289494667	279130611	1510701869	272329475	1621122853	25896673	Q9Y490	Q9Y490	1	616	148	132	Q9Y490	HUMAN	271930.4	70.9	13	13.1	2886.33	2628.64	Talin-1	148	616	2.01E+11	70.90%
487682	907030	212241	3426018	3664515	4005980	4320325	4017239	15928647	3760935	17488176	493151	Q9Y4G6	Q9Y4G6	1	36	39	23	Q9Y4G6|A0A1B0GVU7|H0YN01	HUMAN	273947.6	21.2	13	13.2	624.53	366.84	Talin-2	23	36	1.16E+09	15.80%
12053507	14892820	6230374	400224848	436233229	405557610	496425956	474201148	267529599	442272796	301494394	10583951	Q07954	Q07954	1	469	155	155	Q07954|Q6PJ72|Q7Z7K9|Q07954-2	HUMAN	523482.6	39	14	14.1	2789.67	2789.67	Prolow-density lipoprotein receptor-related protein 1	155	469	1.48E+11	39.00%
7164185	37431447	4335425	73347493	71270535	80661733	82280381	86802685	1021323744	83889988	983217935	7494573	Q9NR09	Q9NR09	1	446	145	145	Q9NR09	HUMAN	536521.4	40.7	15	15.1	2771.77	2771.77	Baculoviral IAP repeat-containing protein 6	145	446	1.03E+11	40.70%
25984784	19782738	10055787	900890040	778173209	904689092	998279012	968127744	402757590	928023387	460327375	17343615	Q15643	Q15643	1	516	160	160	Q15643	HUMAN	228267	70.5	16	16.1	2710.82	2710.82	Thyroid receptor-interacting protein 11	160	516	1.46E+11	70.50%
16926939	45636416	8670328	162073740	217039168	167546979	172655427	174313120	1515509161	169612749	1612910897	17318255	P49792	P49792	1	487	142	104	P49792|F8WBP7	HUMAN	362585.9	51	17	17.1	2521.29	1899.98	E3 SUMO-protein ligase RanBP2	142	487	1.08E+11	51.00%
3561	20984		136745	106703	123167	137762	122372	787216	127960	803282	3561	O14715	O14715	1	3	53	1	O14715|J3KQ37|F8W705|Q99666-2|Q7Z3J3-2|H7BZ48	HUMAN	200301.5	33.6	17	17.2	880.04	16.57	RANBP2-like and GRIP domain-containing protein 8	1	3	35400000	0.60%
9210	28981		98901	73895	95926	75978	107897	778424	104965	929225	9210	Q99666	Q99666	1	1	50	1	Q99666	HUMAN	200232.3	30.2	17	17.3	808.03	15.87	RANBP2-like and GRIP domain-containing protein 5/6	1	1	3.49E+08	0.70%
1642420	1875730	669404	19037405	17402120	20285690	20949942	20682125	32321689	20340009	35191756	1407336	Q8IWJ2	Q8IWJ2	1	31	23	21	Q8IWJ2	HUMAN	196990.2	14.7	17	17.4	334.02	291.13	GRIP and coiled-coil domain-containing protein 2	21	31	6.23E+09	12.80%
9172200	52140732	4880895	165730508	172961240	179688067	212579560	199672807	2440593146	196020814	2582402742	9944445	P46821	P46821	1	474	121	119	P46821|D6RCL2	HUMAN	271827.6	57	18	18.1	2386.18	2349.73	Microtubule-associated protein 1B	121	474	2.06E+11	57.00%
3464824	11566876	1681004	30269495	30994355	33063004	34274937	34956693	359413296	33923783	391141204	3419658	E9PGC8	E9PGC8	1	167	76	74	E9PGC8|P78559-2|P78559	HUMAN	332906.7	29	18	18.2	1249.89	1213.44	Microtubule-associated protein 1A	74	167	1.95E+10	28.20%
319892902	288922200	318204363	358596633	326599279	340763918	321028171	387746660	618458182	363551342	560134755	313104145	Q13085	Q13085	1	517	135	121	Q13085|Q13085-4|Q13085-2|Q13085-3|A0A087WYK6|A0A087X126|A0A087X2F8	HUMAN	267260.7	62.5	19	19.1	2352.7	2119.84	Acetyl-CoA carboxylase 1	135	517	1.50E+11	62.50%
89282587	98812854	68565676	112158500	71345677	121856307	81419774	129702260	197316485	130711004	199752215	88677781	TGGT1_218560-t26_1-p1	TGGT1_218560	1	222	106	105	TGGT1_218560-t26_1-p1	Toxoplasma_gondii_GT1	368780.9	37.2	19	19.2	1662.34	1642.04	TGGT1_218560	105	222	5.41E+10	36.80%
8577735	9112979	7007788	14286313	15977274	15881962	16466644	16425082	26693630	15451394	27534177	8372138	O00763	O00763	1	63	49	36	O00763|O00763-3|O00763-2|F8W8T8	HUMAN	278532.8	23.7	19	19.3	724.64	512.08	Acetyl-CoA carboxylase 2	36	63	4.59E+09	17.80%
24296150	16740695	8925435	509789742	519075883	520235851	572781423	568829308	172141236	527134396	201851995	13304468	Q8WYP5-2	Q8WYP5-2	1	448	114	114	Q8WYP5-2|Q8WYP5-3|Q8WYP5	HUMAN	258049.6	55.3	20	20.1	2175.96	2175.96	Isoform 2 of Protein ELYS	114	448	1.26E+11	55.30%
14397083	19091390	7291233	416753367	412601599	432500791	487259043	463485468	556653929	438741201	588805973	11903151	Q08378	Q08378	1	377	116	116	Q08378|Q08378-2|Q08378-4	HUMAN	167865.2	69.2	21	21.1	2050.83	2050.83	Golgin subfamily A member 3	116	377	9.08E+10	69.20%
176641634	57841077	79563679	156629973	212544171	201018054	225892226	144497216	220337431	154563458	228969257	81163987	P12111	P12111	1	328	124	124	P12111|P12111-2|P12111-4|E7ENL6|P12111-5|P12111-3	HUMAN	345374.6	45.9	22	22.1	2005.07	2005.07	Collagen alpha-3(VI) chain	124	328	6.16E+10	45.90%
12725690	16230035	5844292	278692869	285685121	292665751	358129336	302192151	254777837	288241542	279450123	12167333	Q9NZM1	Q9NZM1	1	303	115	115	Q9NZM1|Q9NZM1-6|Q9NZM1-3|Q9NZM1-2|Q9NZM1-5|Q9NZM1-7|Q9NZM1-8|Q9NZM1-4|O75923-13|O75923-7|O75923-8|O75923-2|O75923-10|O75923-11|O75923-4|O75923-5|O75923-12|O75923-6|O75923-14|O75923|O75923-9|O75923-3|O75923-15	HUMAN	236244.8	58.8	23	23.1	1928.86	1928.86	Myoferlin	115	303	6.30E+10	58.80%
5785690	11399334	2848527	81959137	76847286	88434213	92546958	90241943	297901328	87176265	323681942	5829181	Q68DQ2	Q68DQ2	1	235	108	108	Q68DQ2|Q68DQ2-1|Q68DQ2-2	HUMAN	333308.2	48.8	24	24.1	1875.42	1875.42	Very large A-kinase anchor protein	108	235	2.54E+10	48.80%
16800990	122824803	8764810	291251635	173387461	322383158	216721235	342406313	2597559396	334170983	2803992621	16709486	E7EVA0	E7EVA0	1	458	100	13	E7EVA0|P27816-2|P27816-4|F8W9U4|P27816-7|P27816-3	HUMAN	246695.2	42	25	25.1	1863.31	187.01	Microtubule-associated protein	100	458	3.11E+11	41.30%
			23189	15271	38161	22472	48459	656199	36876	706929		P27816	P27816	1	2	87	1	P27816|P27816-6	HUMAN	121516.3	73	25	25.2	1687.58	21.65	Microtubule-associated protein 4	1	2	1.05E+08	3.40%
26296	46494	6206	213642	201652	235901	172294	224124	944180	224327	942499	26296	P27816-5	P27816-5	1	2	45	1	P27816-5	HUMAN	85536.1	57.3	25	25.3	817.87	17.18	Isoform 5 of Microtubule-associated protein 4	1	2	3.30E+08	1.60%
31368450	24378385	11496941	1008520989	1161986456	1028887716	1309078870	1219793920	751148266	1091067547	786624914	19816583	Q9UM54-6	Q9UM54-6	1	527	110	1	Q9UM54-6|E7EW20|Q9UM54|Q9UM54-1|Q9UM54-4|A0A0D9SGC1	HUMAN	150025.6	73.7	26	26.1	1850.57	11.67	Isoform 6 of Unconventional myosin-VI	110	527	3.79E+11	73.70%
159056	260381	96884	1606831	1824591	1434121	3717298	1938914	2046320	1788404	2779973	151650	A0A0A0MRM8	A0A0A0MRM8	1	2	110	1	A0A0A0MRM8|Q9UM54-2|Q9UM54-5	HUMAN	146382.5	75	26	26.2	1847.73	8.83	Unconventional myosin-VI	1	2	2.55E+08	0.70%
14210320	27177492	5918373	211801706	209330741	251034172	228613699	236582315	590522985	218862514	574008051	12708640	O75165	O75165	1	321	106	106	O75165	HUMAN	256692.5	48	27	27.1	1783.9	1783.9	DnaJ homolog subfamily C member 13	106	321	6.07E+10	48.00%
4603150	16085978	2978329	121678274	182359802	126468712	192529698	117804589	144761370	133243992	146600219	5139052	O95613	O95613	1	218	116	116	O95613|O95613-2	HUMAN	380826.2	38	28	28.1	1768.86	1768.86	Pericentrin	117	218	2.05E+10	38.00%
15130622	20806575	10617795	143084031	149586191	152786104	172677734	153473301	208602746	149495468	240322813	15017882	Q14980	Q14980	1	255	104	104	Q14980|Q14980-2|A0A087WY61|Q14980-3|Q14980-4|Q14980-5	HUMAN	239339.3	54.3	29	29.1	1734.76	1734.76	Nuclear mitotic apparatus protein 1	104	255	3.23E+10	54.30%
14928804	63154171	8588309	220537638	156586822	228347188	178354274	233338753	1269989801	224531335	1294503937	15703875	P48681	P48681	1	290	94	94	P48681	HUMAN	177892.1	59.2	30	30.1	1683.46	1683.46	Nestin	94	290	1.11E+11	59.20%
6761171	11332071	3249619	128487544	124093133	130716990	148698379	141734969	226492107	138441259	249313326	6673121	Q13439	Q13439	1	194	109	109	Q13439|Q13439-3|Q13439-5|Q13439-4|A0A087WTW2|Q86W71	HUMAN	262048.4	47.8	31	31.1	1637.42	1637.42	Golgin subfamily A member 4	110	194	4.66E+10	47.80%
367661483	3632095124	203790572	9459614581	5895118265	10016354430	8108782920	10195514679	65834042398	9641590179	63562556107	411609208	P08670	P08670	1	1160	86	80	P08670|B0YJC4|B0YJC5|P41219-2|P41219|P07197|E7ESP9|E7EMV2|P07197-2|P12036|P12036-2|P07196	HUMAN	53707.8	95.2	32	32.1	1631.78	1534.81	Vimentin	88	1160	2.01E+13	95.20%
3513082	7214332	1577022	39077400	26311718	36821482	30713086	40154356	121051025	38741427	113619210	3403574	P17661	P17661	1	61	36	29	P17661	HUMAN	53591.9	67.4	32	32.2	577.53	460.61	Desmin	29	61	1.97E+10	60.20%
10145888	19782923	11220286	49272865	36520298	49922738	36361785	40730418	272145491	44904628	268600812	9823947	P08729	P08729	1	81	32	29	P08729|A0A1W2PRP1	HUMAN	51441.8	62.2	32	32.3	504.86	463.72	Keratin type II cytoskeletal 7	29	81	2.16E+10	58.80%
87085	321870	70788	876264	718703	797070	676221	825255	4482906	898796	4567707	97686	Q16352	Q16352	1	7	6	4	Q16352	HUMAN	55560.8	13.4	32	32.4	95.76	58.65	Alpha-internexin	4	7	95600000	11.00%
106895177	48829460	61204804	65817371	86105099	84402793	111665020	58594156	106209748	61273861	127362074	63047806	P98160	P98160	1	230	98	98	P98160	HUMAN	479547.8	31.2	33	33.1	1598.6	1598.6	Basement membrane-specific heparan sulfate proteoglycan core protein	98	230	3.24E+10	31.20%
8353086	22350590	4641537	58098932	59293439	63058902	71713298	69673975	801327574	64509385	859074658	8605225	E9PMS6	E9PMS6	1	245	85	5	E9PMS6|E9PMT2|Q8WWI1-5|A0A0A0MTE2	HUMAN	146105.4	69.6	34	34.1	1465.94	74.56	LIM domain only protein 7	85	245	5.43E+10	69.60%
137166	660261	88384	1744301	1888212	1797476	1861836	2006408	48130116	1745832	48532590	143847	F8WD26	F8WD26	1	17	84	4	F8WD26|Q8WWI1|J3KP06|Q8WWI1-2|Q8WWI1-4	HUMAN	187373.3	54.9	34	34.2	1472.39	81.01	LIM domain only protein 7	4	17	4.15E+09	3.40%
4979780	13964994	2787135	82301977	61721090	89010570	73059426	89505054	410492617	84174083	422473134	5247457	Q8N3C0	Q8N3C0	1	205	92	92	Q8N3C0|Q8N3C0-4|Q8N3C0-3|J3KNJ4	HUMAN	253053.3	48.9	35	35.1	1471.83	1471.83	Activating signal cointegrator 1 complex subunit 3	92	205	3.05E+10	48.90%
33837329	14086240	8972559	741870626	800135867	738646140	927414254	828640959	171064761	781811663	205165104	13631632	P49790	P49790	1	387	77	2	P49790|P49790-2	HUMAN	155533.1	58.4	36	36.1	1447.55	40.06	Nuclear pore complex protein Nup153	77	387	3.08E+11	58.40%
15942	20829	12180	58372	51998	57159	53523	51813	66645	55414	83389	15942	P49790-3	P49790-3	1	1	76	1	P49790-3	HUMAN	158989.2	56.9	36	36.2	1421.36	13.87	Isoform 3 of Nuclear pore complex protein Nup153	1	1	24800000	1.10%
154623636	100077593	10968053	2298657986	2741356888	2316938649	3111055733	2806109980	3143433470	2526866767	3098974290	94444121	Q16666	Q16666	1	624	79	79	Q16666|Q16666-2|Q16666-3|Q16666-6|A0A0A0MRB1|Q6K0P9|Q6K0P9-2|Q6K0P9-3|Q6K0P9-4|Q6K0P9-5|Q6K0P9-6	HUMAN	88710.4	69.4	37	37.1	1413.7	1413.7	Gamma-interferon-inducible protein 16	79	624	1.13E+12	69.40%
108850152	40856731	24655009	1385057350	1598989372	1396160338	1789455625	1552408425	359269733	1537108852	430736679	41659049	P02545	P02545	1	423	85	83	P02545|P02545-3|P02545-6|P02545-2|P02545-4|P02545-5|Q3BDU5|Q5TCI8	HUMAN	74423.5	75.7	38	38.1	1398.45	1366.57	Prelamin-A/C	85	423	5.13E+11	75.70%
29964492	8432633	3401467	440444359	482220185	439381586	581428263	517173426	83729958	514749658	102876838	8212703	P20700	P20700	1	198	61	53	P20700|E9PBF6|A0A0D9SFE5	HUMAN	66692.5	76.6	38	38.2	1034.77	931.24	Lamin-B1	53	198	9.09E+10	71.30%
19468728	5549767	2880069	195393090	211734386	194145106	238874662	210480080	59416273	202373393	70708096	5802406	Q03252	Q03252	1	123	53	45	Q03252	HUMAN	70061.3	64.6	38	38.3	809.87	706.34	Lamin-B2	45	123	3.96E+10	58.50%
4039738	9424998	1924613	39001996	45654369	42153452	51185700	44507719	251611825	43634855	259744292	3809266	Q13813-3	Q13813-3	1	141	85	85	Q13813-3|A0A0D9SF54|Q13813|A0A0D9SGF6|Q13813-2	HUMAN	283075.4	42.1	39	39.1	1385.18	1385.18	Isoform 3 of Spectrin alpha chain non-erythrocytic 1	85	141	1.15E+10	42.10%
348075946	478868471	534582657	462309853	518837998	467410954	564847350	519076957	764823108	497309069	784468382	452461076	P11498	P11498	1	469	77	76	P11498|P11498-2|E9PRE7|E9PS68	HUMAN	130372.9	75.5	40	40.1	1383.72	1365.02	Pyruvate carboxylase mitochondrial	77	469	3.74E+11	75.50%
358207154	418171335	303772631	369087205	55073184	399388636	76942641	446406415	691597065	416111812	676162959	358238353	TGGT1_284190-t26_1-p1	TGGT1_284190	1	390	69	69	TGGT1_284190-t26_1-p1	Toxoplasma_gondii_GT1	153161.7	60.5	40	40.2	1316.65	1302.11	TGGT1_284190	69	390	1.89E+11	60.50%
4000990	7299626	2380196	37696204	36044903	42546099	41538283	43478678	123846747	41409957	133930946	4135181	Q92616	Q92616	1	167	89	89	Q92616	HUMAN	295149.3	42.3	41	41.1	1382.79	1382.79	eIF-2-alpha kinase activator GCN1	89	167	1.18E+10	42.30%
4779585	16770922	2547602	66392869	66978313	69945308	78748904	75315261	534264126	71847366	564897212	5039581	Q9C0C2	Q9C0C2	1	247	74	74	Q9C0C2|Q9C0C2-2|E9PKK0	HUMAN	182819.3	61.5	42	42.1	1366.35	1366.35	182 kDa tankyrase-1-binding protein	74	247	6.00E+10	61.50%
15352555	16092278	4627091	345218258	350040830	345743960	431616989	376203816	271601153	358168327	299842878	12824713	Q9P2E9	Q9P2E9	1	265	80	79	Q9P2E9|A0A0A0MRV0|Q9P2E9-2|Q9P2E9-3|A0A087WVV2|F8W7S5|A0A087WU26	HUMAN	152868.9	51.6	43	43.1	1354.55	1336.82	Ribosome-binding protein 1	80	265	1.02E+11	51.60%
414455	1007531	237927	8202049	10772860	8662825	11104728	8055894	11480032	9088723	12172894	427990	Q8N4C6-7	Q8N4C6-7	1	38	29	28	Q8N4C6-7|Q8N4C6-10|Q8N4C6|Q8N4C6-2|C9J066|Q8N4C6-4|Q8N4C6-5|Q8N4C6-9|E9PN67|Q8N4C6-11|Q8N4C6-6	HUMAN	250243.4	17.2	43	43.2	423.05	405.32	Isoform 7 of Ninein	28	38	1.42E+09	16.80%
