20191004_Toxoplasma_PMV_TMT, 126C:126C.127C.127N, ctrl.turbo.rah.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 127N:126C.127C.127N, ctrl.turbo.cyto.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 127C:126C.127C.127N, ctrl.noturbo.nobiotin:control.mean	20191004_Toxoplasma_PMV_TMT, 128N:126C.127C.127N, turborah.toxo.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 128C:126C.127C.127N, turborah.mock.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 129N:126C.127C.127N, turborah.toxo.r2:control.mean	20191004_Toxoplasma_PMV_TMT, 129C:126C.127C.127N, turborah.mock.r2:control.mean	20191004_Toxoplasma_PMV_TMT, 130N:126C.127C.127N, turborah.toxo.r3:control.mean	20191004_Toxoplasma_PMV_TMT, 130C:126C.127C.127N, turbocyto.toxo.r1:control.mean	20191004_Toxoplasma_PMV_TMT, 131N:126C.127C.127N, turborah.toxo.r4:control.mean	20191004_Toxoplasma_PMV_TMT, 131C:126C.127C.127N, turbocyto.toxo.r2:control.mean	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191004_Toxoplasma_PMV_TMT unique_peptides	20191004_Toxoplasma_PMV_TMT numSpectra	20191004_Toxoplasma_PMV_TMT totalIntensity	20191004_Toxoplasma_PMV_TMT pct_cov
0	0.988	-0.788	2.714	2.758	2.719	2.885	2.842	4.874	2.729	5.059	O75369-8	O75369-8	1	30	43	29	O75369-8|O75369|O75369-9|O75369-2|O75369-3|O75369-6|O75369-4|O75369-5|O75369-7|E7EN95|A0A0A0MT44	HUMAN	283797.6	19.3	4	4.3	578.09	346.48	Isoform 8 of Filamin-B	29	30	2.19e+09	15.3%
0	0.025	-0.871	3.876	4.239	3.931	4.323	4.018	3.893	4.015	4.053	Q8NF91	Q8NF91	1	229	188	3	Q8NF91|E7ENN3|Q8NF91-7|Q8NF91-2|Q8NF91-8|Q8NF91-11|Q5JV20|Q8NF91-12|E9PEL9|Q8NF91-10	HUMAN	1017743.3	27.4	5	5.1	2896.52	55.04	Nesprin-1	188	229	4.55e+10	27.4%
0.091	0.299	-0.99	3.211	3.249	3.177	3.915	3.428	3.664	3.251	3.687	Q8NF91-4	Q8NF91-4	1	2	187	2	Q8NF91-4|A0A0C4DG40|Q8NF91-3|Q8NF91-9|F8WAI0	HUMAN	1011896.8	27.3	5	5.2	2867.37	25.89	Isoform 4 of Nesprin-1	2	2	3.58e+08	0.2%
0	0.264	-0.633	3.214	3.32	3.385	3.439	3.453	3.613	3.473	3.657	Q8WXH0-2	Q8WXH0-2	1	25	27	24	Q8WXH0-2|Q8WXH0|A0A0A0MRE3|G3V5X4|A0A0C4DGK3|Q8WXH0-7|Q8WXH0-13|Q8WXH0-3|Q8WXH0-4|Q8WXH0-10|Q8WXH0-5|Q8WXH0-12|Q8WXH0-11|Q8WXH0-6	HUMAN	804724.5	4.1	5	5.3	280.99	252.54	Isoform 2 of Nesprin-2	24	25	1.14e+09	3.7%
0	0.264	-0.434	0.19	-1.751	0.272	-1.77	0.395	1.234	0.342	1.265	TGGT1_221320-t26_1-p1	TGGT1_221320-t26_1-p1	1	289	175	175	TGGT1_221320-t26_1-p1	Toxoplasma_gondii_GT1	288944.6	63.3	6	6.1	2861.9	2861.9	TGGT1_221320	175	289	3.18e+11	63.3%
0	0.198	-0.821	4.171	4.078	4.295	4.336	4.329	4.493	4.315	4.585	Q14789	Q14789	1	249	176	0	Q14789|F8WF12	HUMAN	377438.9	59.3	7	7.1	2860.2	0	Golgin subfamily B member 1	176	249	9.72e+10	59.3%
											Q14789-3	Q14789-3	1	1	176	1	Q14789-3|Q14789-4	HUMAN	373683.9	59.6	7	7.2	2857.39	15.67	Isoform 3 of Golgin subfamily B member 1	1	1	2810000	0.4%
	1.925	-0.368	3.967	3.756	4.064	4.002	4.121	6.593	4.178	6.603	Q14789-2	Q14789-2	1	1	176	1	Q14789-2	HUMAN	378557.2	59	7	7.3	2852.09	14.95	Isoform 2 of Golgin subfamily B member 1	1	1	15800000	0.5%
0	0.871	-0.717	3.042	3.217	3.173	3.356	3.152	5.458	3.165	5.547	Q03001	Q03001	1	191	165	43	Q03001|F8W9J4|E9PHM6|Q03001-14|Q03001-8|Q03001-9|Q03001-3|Q6P0N6|Q03001-13|Q03001-10|Q03001-12	HUMAN	865781.3	28	8	8.1	2466.27	642.97	Dystonin	166	191	2.03e+10	28.0%
	0.756	-0.961	3.422	3.473	3.531	3.492	3.597	4.859	3.322	4.948	F6QMI7	F6QMI7	1	1	124	1	F6QMI7|Q03001-11	HUMAN	636850.7	29.1	8	8.2	1848.51	14.67	Dystonin	1	1	69400000	0.2%
0	0.862	-0.836	2.845	3.02	2.862	2.974	2.975	5.036	2.877	5.133	H3BQK9	H3BQK9	1	80	81	76	H3BQK9|H3BPE1|Q9UPN3|Q9UPN3-5|Q9UPN3-2|Q9UPN3-3|Q9UPN3-4|E9PLY0	HUMAN	866539.7	13.6	8	8.3	1050.92	971.92	Microtubule-actin cross-linking factor 1 isoforms 1/2/3/5	76	80	6.26e+09	12.8%
0	0.611	-0.701	3.032	3.048	3.172	3.133	3.168	4.518	3.106	4.633	Q14204	Q14204	1	185	151	151	Q14204	HUMAN	535136.6	42.7	9	9.1	2333.09	2333.09	Cytoplasmic dynein 1 heavy chain 1	151	185	3.45e+10	42.7%
0	1.08	-0.801	3.024	2.994	3.081	3.203	3.17	5.402	3.185	5.509	Q9Y490	Q9Y490	1	205	124	107	Q9Y490	HUMAN	271930.4	64.5	10	10.1	2282.17	2031.2	Talin-1	124	205	8.19e+10	64.5%
0	0.809	-1.187	2.237	2.239	2.241	2.524	2.224	3.46	2.13	3.731	Q9Y4G6	Q9Y4G6	1	6	23	6	Q9Y4G6|A0A1B0GVU7	HUMAN	273947.6	8.4	10	10.2	342.38	91.41	Talin-2	6	6	1.16e+08	3.1%
0.846	0	0	0.381	0.741	0.82	1.04	0.208	0.936	0.254	1.215	P02751	P02751	1	232	128	3	P02751|P02751-3|P02751-15|P02751-7|P02751-17|P02751-5|P02751-6|P02751-11|P02751-4|P02751-16|P02751-2	HUMAN	266214.2	62.5	11	11.1	2219.56	67.63	Fibronectin	128	232	3.29e+11	62.5%
											P02751-8	P02751-8	1	1	126	1	P02751-8|P02751-14|P02751-9|P02751-10|P02751-13|P02751-12	HUMAN	256400.6	64	11	11.2	2161.14	9.21	Isoform 8 of Fibronectin	1	1	15200000	2.2%
0	0.946	-0.71	3.475	3.89	3.463	3.987	3.573	5.594	3.54	5.784	Q8IVF2-3	Q8IVF2-3	1	169	138	138	Q8IVF2-3|Q8IVF2|Q8IVF2-2	HUMAN	606664.8	33.2	12	12.1	2083.86	2083.86	Isoform 3 of Protein AHNAK2	138	169	5.35e+10	32.7%
0	0.267	-0.485	4.006	4.061	3.986	4.223	4.192	3.988	4.157	4.12	Q07954	Q07954	1	158	124	124	Q07954|Q6PJ72|Q7Z7K9|Q07954-2	HUMAN	523482.6	34.3	13	13.1	2025.82	2025.82	Prolow-density lipoprotein receptor-related protein 1	124	158	6.21e+10	34.3%
0	1.05	-0.707	2.988	2.939	3.054	3.199	3.112	5.94	3.107	5.996	P49792	P49792	1	156	119	90	P49792|J3KNE0|A6NKT7|F8VYC4|A0A286YES2|P0DJD0|P0DJD1|A0A1W2PNU4|Q7Z3J3-2|F8WBP7	HUMAN	362585.9	47.4	14	14.1	1920.73	1451.66	E3 SUMO-protein ligase RanBP2	119	156	5.18e+10	47.4%
											O14715	O14715	0	0	32	0	O14715|J3KQ37|F8W705|Q99666-2	HUMAN	200301.5	22.3	14	14.2	517.94	0	RANBP2-like and GRIP domain-containing protein 8	0	0	0	0.0%
	0.876	-0.481	2.7	2.686	2.775	2.837	3	5.252	2.862	5.372	Q99666	Q99666	1	2	32	2	Q99666|H7BZ48	HUMAN	200232.3	22.2	14	14.3	490.75	27.48	RANBP2-like and GRIP domain-containing protein 5/6	2	2	5230000	2.4%
0	0.108	-1.249	3.267	3.274	3.415	3.362	3.52	3.951	3.335	4.275	Q8IWJ2	Q8IWJ2	1	9	11	9	Q8IWJ2	HUMAN	196990.2	7	14	14.4	142.39	109.48	GRIP and coiled-coil domain-containing protein 2	9	9	4.87e+09	5.5%
0	0.056	-0.713	4.384	4.282	4.473	4.598	4.564	3.975	4.539	4.18	Q15643	Q15643	1	186	126	126	Q15643	HUMAN	228267	62.1	15	15.1	1894.96	1894.96	Thyroid receptor-interacting protein 11	126	186	7.53e+10	62.1%
0	1.14	-0.795	3.174	3.279	3.224	3.44	3.346	6.48	3.364	6.572	P46821	P46821	1	157	92	90	P46821|D6RCL2	HUMAN	271827.6	51.7	16	16.1	1791.35	1754.78	Microtubule-associated protein 1B	92	157	1.13e+11	51.7%
0	0.958	-0.577	2.668	2.681	2.678	2.564	2.734	5.692	2.655	5.703	E9PGC8	E9PGC8	1	55	45	43	E9PGC8|P78559-2|P78559	HUMAN	332906.7	21.9	16	16.2	741.45	704.88	Microtubule-associated protein 1A	43	55	8.31e+09	21.2%
0	0	0	0.725	0.698	0.75	0.666	0.789	1.702	0.787	1.694	Q13085	Q13085	1	172	109	97	Q13085|Q13085-4|Q13085-2|Q13085-3|A0A087WYK6|A0A087X126|A0A087X2F8	HUMAN	267260.7	57.2	17	17.1	1750.76	1559.5	Acetyl-CoA carboxylase 1	109	172	7.96e+10	57.2%
0	0.202	-0.547	0.614	-0.314	0.763	-0.233	0.734	1.688	0.773	1.89	TGGT1_218560-t26_1-p1	TGGT1_218560-t26_1-p1	1	64	59	58	TGGT1_218560-t26_1-p1	Toxoplasma_gondii_GT1	368780.9	21.8	17	17.2	819.21	800.8	TGGT1_218560	58	64	1.79e+10	21.4%
0	0.02	-0.306	1.121	1.202	1.489	1.36	1.109	2.28	1.465	2.341	O00763	O00763	1	18	28	17	O00763|O00763-2|O00763-3|F8W8T8	HUMAN	278532.8	15	17	17.3	410.52	237.67	Acetyl-CoA carboxylase 2	17	18	6.81e+08	9.4%
0	1.334	-0.601	2.914	2.937	3.12	2.969	3.051	5.734	3.08	5.778	Q9NR09	Q9NR09	1	144	104	104	Q9NR09	HUMAN	536521.4	33.1	18	18.1	1743.71	1743.71	Baculoviral IAP repeat-containing protein 6	104	144	3.06e+10	33.1%
0	0.786	-0.863	3.117	3.063	3.276	3.173	3.338	4.947	3.254	5.044	P78527	P78527	1	142	117	117	P78527|P78527-2	HUMAN	474044.1	33.8	19	19.1	1707.09	1707.09	DNA-dependent protein kinase catalytic subunit	117	142	3.59e+10	33.8%
0.278	0	-0.764	4.364	4.463	4.479	4.589	4.618	3.596	4.432	3.912	Q8WYP5-2	Q8WYP5-2	1	132	88	88	Q8WYP5-2|Q8WYP5-3|Q8WYP5	HUMAN	258049.6	48.1	20	20.1	1622.77	1622.77	Isoform 2 of Protein ELYS	88	132	5.86e+10	48.1%
0	1.756	-0.553	3.404	3.083	3.359	3.236	3.425	5.943	3.432	5.758	P08670	P08670	1	488	85	78	P08670|B0YJC4|B0YJC5|P41219-2|P41219|P12036|P12036-2|P07197|E7ESP9|E7EMV2|P07197-2|P07196	HUMAN	53707.8	95.2	21	21.1	1502.51	1403.29	Vimentin	87	488	1.45e+13	95.2%
0	1.362	-0.368	2.679	2.649	2.801	2.697	2.804	5.791	2.801	5.689	P08729	P08729	1	36	30	27	P08729|A0A1W2PRP1	HUMAN	51441.8	56.5	21	21.2	430.02	390.2	Keratin type II cytoskeletal 7	27	36	1.08e+10	53.0%
0	0.635	-1.088	3.094	2.98	3.389	3.135	3.158	4.597	3.194	4.745	P17661	P17661	1	22	28	20	P17661	HUMAN	53591.9	54	21	21.3	429.32	313.81	Desmin	20	22	1.69e+10	45.5%
-0.672	1.095		3.132	2.85	3.306	3.129	3.366	5.615	3.528	5.773	Q16352	Q16352	1	1	3	1	Q16352	HUMAN	55560.8	5	21	21.4	48.64	15.61	Alpha-internexin	1	1	37400000	2.6%
0	0.061	-0.4	4.4	4.806	4.56	4.858	4.816	4.696	4.709	4.682	A0A0A0MRM8	A0A0A0MRM8	1	170	90	90	A0A0A0MRM8|Q9UM54-6|Q9UM54-2|Q9UM54-5|E7EW20|Q9UM54|Q9UM54-1|Q9UM54-4|A0A0D9SGC1	HUMAN	146382.5	65.6	22	22.1	1448.91	1448.91	Unconventional myosin-VI	90	170	2.17e+11	65.6%
0	0.334	-0.701	3.921	3.924	4.026	4.118	4.04	4.786	4.046	4.85	Q08378	Q08378	1	122	84	84	Q08378|Q08378-2|Q08378-4	HUMAN	167865.2	58.6	23	23.1	1321.14	1321.14	Golgin subfamily A member 3	84	122	5.66e+10	58.6%
0.984	-0.168	0	1.193	1.66	1.527	1.584	1.102	1.764	1.242	1.9	P12111	P12111	1	108	89	89	P12111|P12111-2|P12111-4|E7ENL6|P12111-5|P12111-3	HUMAN	345374.6	34.4	24	24.1	1313.65	1313.65	Collagen alpha-3(VI) chain	89	108	2.73e+10	34.4%
0	1.542	-0.63	3.349	3.052	3.403	3.276	3.434	5.643	3.419	5.677	P48681	P48681	1	118	80	80	P48681	HUMAN	177892.1	49.6	25	25.1	1269.46	1269.46	Nestin	80	118	7.56e+10	49.6%
0	0.41	-0.816	4.144	4.152	4.073	4.339	4.186	4.308	4.121	4.502	Q9NZM1	Q9NZM1	1	105	87	87	Q9NZM1|Q9NZM1-6|Q9NZM1-3|Q9NZM1-2|Q9NZM1-5|Q9NZM1-7|Q9NZM1-8|Q9NZM1-4|O75923-13|O75923-7|O75923-8|O75923-2|O75923-10|O75923-11|O75923-4|O75923-5|O75923-12|O75923-6|O75923-14|O75923|O75923-9|O75923-3|O75923-15	HUMAN	236244.8	46	26	26.1	1265.41	1265.41	Myoferlin	87	105	3.07e+10	46.0%
0	1.835	-0.525	3.41	3.058	3.57	3.171	3.71	6.279	3.554	6.38	E7EVA0	E7EVA0	1	144	67	1	E7EVA0|P27816-2|P27816-4|F8W9U4|P27816-7	HUMAN	246695.2	30.3	27	27.1	1237.81	14.87	Microtubule-associated protein	67	144	1.66e+11	30.3%
											P27816	P27816	1	1	67	1	P27816|P27816-6	HUMAN	121516.3	62.3	27	27.2	1235.28	12.34	Microtubule-associated protein 4	1	1	22300000	3.4%
0.426	0.518	-0.404	1.803	1.77	2.06	1.405	2.007	4.264	2.11	4.358	P27816-5	P27816-5	1	3	34	2	P27816-5	HUMAN	85536.1	45.3	27	27.3	588.93	33.29	Isoform 5 of Microtubule-associated protein 4	2	3	1.44e+09	5.9%
-0.266	0.123	0	0.643	0.9	0.821	0.91	0.828	1.744	0.832	1.856	P11498	P11498	1	138	68	67	P11498|P11498-2|E9PRE7|E9PS68	HUMAN	130372.9	68.2	28	28.1	1189.8	1172.4	Pyruvate carboxylase mitochondrial	68	138	1.91e+11	68.2%
0	0.319	-0.221	0.618	-0.913	0.75	-0.985	0.851	1.872	0.763	1.789	TGGT1_284190-t26_1-p1	TGGT1_284190-t26_1-p1	1	119	66	65	TGGT1_284190-t26_1-p1	Toxoplasma_gondii_GT1	153161.7	55.8	28	28.2	1116.51	1099.11	TGGT1_284190	65	119	1.05e+11	55.1%
0.44	0	-0.645	4.934	5.121	5.064	5.324	5.199	3.817	5.181	4.057	P49790	P49790	1	118	69	69	P49790|P49790-3|P49790-2	HUMAN	155533.1	58.5	29	29.1	1180.44	1180.44	Nuclear pore complex protein Nup153	69	118	1.5e+11	58.5%
0.575	0	-0.984	4.216	4.517	4.36	4.628	4.464	3.245	4.45	3.517	P02545	P02545	1	124	70	67	P02545|P02545-3|P02545-6|P02545-2|P02545-4|P02545-5|Q3BDU5|Q5TCI8	HUMAN	74423.5	72.1	30	30.1	1159.83	1121.4	Prelamin-A/C	70	124	3.36e+11	72.1%
0.911	0	-0.991	4.518	4.725	4.462	4.984	4.76	3.298	4.791	3.622	P20700	P20700	1	63	46	41	P20700|E9PBF6|A0A0D9SFE5	HUMAN	66692.5	72.8	30	30.2	739.23	677.15	Lamin-B1	41	63	7.07e+10	67.4%
0.789	0	-1.189	3.952	4.032	3.968	4.292	4.032	3.269	3.935	3.462	Q03252	Q03252	1	38	37	31	Q03252	HUMAN	70061.3	54	30	30.3	496.41	427.74	Lamin-B2	31	38	2.41e+10	46.7%
0	0.406	-0.515	3.01	3.117	3.146	3.297	3.168	3.667	3.11	3.808	Q14980	Q14980	1	86	76	76	Q14980|Q14980-2|A0A087WY61|Q14980-3|Q14980-4|Q14980-5	HUMAN	239339.3	42.7	31	31.1	1127.67	1127.67	Nuclear mitotic apparatus protein 1	76	86	1.52e+10	42.7%
0.238	0	-1.23	3.899	4.061	3.965	4.271	4.144	4.787	4.025	4.808	Q16666	Q16666	1	211	66	66	Q16666|Q16666-2|Q16666-3|Q16666-6|A0A0A0MRB1|Q6K0P9|Q6K0P9-2|Q6K0P9-3|Q6K0P9-4|Q6K0P9-5|Q6K0P9-6	HUMAN	88710.4	63.4	32	32.1	1124.08	1124.08	Gamma-interferon-inducible protein 16	66	211	6.4e+11	63.4%
0	0.88	-0.955	3.665	3.644	3.756	3.698	3.785	5.235	3.689	5.193	O75165	O75165	1	95	73	73	O75165	HUMAN	256692.5	38.1	33	33.1	1113.88	1113.88	DnaJ homolog subfamily C member 13	73	95	2.08e+10	38.1%
0	0.053	-0.81	3.761	3.774	3.742	4.15	3.864	4.043	3.892	4.119	Q9P2E9	Q9P2E9	1	98	70	2	Q9P2E9|A0A0A0MRV0|A0A087WVV2|F8W7S5|A0A087WU26	HUMAN	152868.9	48.3	34	34.1	1093.18	18.38	Ribosome-binding protein 1	70	98	5.86e+10	48.3%
	0.669	-0.118	3.763	3.723	3.808	3.882	4.105	5.42	4.019	5.454	Q9P2E9-2	Q9P2E9-2	1	1	69	1	Q9P2E9-2|Q9P2E9-3	HUMAN	152585.6	48.2	34	34.2	1084.68	9.88	Isoform 1 of Ribosome-binding protein 1	1	1	74800000	1.1%
0	0.856	-0.939	3.607	3.854	3.617	3.834	3.561	4.184	3.736	4.209	Q8N4C6-7	Q8N4C6-7	1	10	11	10	Q8N4C6-7|Q8N4C6-10|Q8N4C6|Q8N4C6-2|C9J066|Q8N4C6-4|E9PN67|Q8N4C6-5|Q8N4C6-9|Q8N4C6-11|Q8N4C6-6	HUMAN	250243.4	6.1	34	34.3	135.71	118.65	Isoform 7 of Ninein	10	10	4.24e+08	5.7%
0	1.029	-0.573	2.813	2.958	2.932	3.118	3.052	5.34	2.884	5.485	Q9C0C2	Q9C0C2	1	88	64	64	Q9C0C2|Q9C0C2-2|E9PKK0	HUMAN	182819.3	56.2	35	35.1	1033.11	1033.11	182 kDa tankyrase-1-binding protein	64	88	2.45e+10	56.2%
0	0	-0.29	0.67	0.785	0.717	0.885	0.847	1.359	0.83	1.365	P05165	P05165	1	138	61	61	P05165|P05165-2|P05165-3	HUMAN	80685.1	70.4	36	36.1	1019.88	1019.88	Propionyl-CoA carboxylase alpha chain mitochondrial	61	138	2.91e+11	70.4%
0.603	-0.018	0	0.558	0.994	1.045	1.151	0.417	1.449	0.699	1.724	P98160	P98160	1	82	66	66	P98160	HUMAN	479547.8	21.7	37	37.1	974.47	974.47	Basement membrane-specific heparan sulfate proteoglycan core protein	66	82	1.77e+10	21.7%
0	0.427	-0.711	4.329	4.315	4.338	4.54	4.531	5.005	4.413	5.077	Q7Z3T8	Q7Z3T8	1	87	55	55	Q7Z3T8|Q7Z3T8-3	HUMAN	171296.7	42.3	38	38.1	961.76	961.76	Zinc finger FYVE domain-containing protein 16	55	87	4.36e+10	42.3%
0.987	0	-0.903	4.304	4.533	4.52	4.5	4.486	3.555	4.494	3.69	Q9Y2U8	Q9Y2U8	1	98	54	54	Q9Y2U8	HUMAN	100851.5	69.4	39	39.1	926.85	926.85	Inner nuclear membrane protein Man1	54	98	9.47e+10	69.4%
0	1.031	-0.673	3.528	3.978	3.573	4.158	3.47	4.337	3.648	4.307	O95613	O95613	1	72	67	67	O95613|O95613-2	HUMAN	380826.2	23.2	40	40.1	923.36	923.36	Pericentrin	67	72	8.51e+09	23.2%
0.417	0	-0.644	4.184	4.32	4.292	4.476	4.315	3.541	4.319	3.879	Q6ZMZ3	Q6ZMZ3	1	95	64	1	Q6ZMZ3|G3V533|Q6ZMZ3-3	HUMAN	112842.1	63.4	41	41.1	923.15	12.19	Nesprin-3	64	95	4.59e+10	63.4%
0.487		-1.862	2.124	2.048	2.327	2.135	2.312	2.993	2.092	3.124	Q6ZMZ3-2	Q6ZMZ3-2	1	1	64	1	Q6ZMZ3-2	HUMAN	112302.4	63.5	41	41.2	922.89	11.93	Isoform 2 of Nesprin-3	1	1	47900000	1.6%
0	0.308	-0.716	3.649	3.53	3.661	3.862	3.733	4.252	3.676	4.367	J3KNL6	J3KNL6	1	76	59	2	J3KNL6|O15027|O15027-4|O15027-3|O15027-2	HUMAN	253486.5	34.4	42	42.1	902.58	36.23	Protein transport protein sec16	59	76	2.8e+10	34.4%
	0.783		3.666	3.531	3.874	3.538	3.677	4.981			F1T0I1	F1T0I1	1	1	58	1	F1T0I1	HUMAN	251018	34.2	42	42.2	890.17	23.82	Protein transport protein sec16	1	1	25800000	1.5%
0	0.956	-0.542	2.753	2.774	2.775	2.857	2.836	5.724	2.84	5.806	Q8WWI1-3	Q8WWI1-3	1	78	56	56	Q8WWI1-3|Q8WWI1|J3KP06|F8WD26|E9PMS6|Q8WWI1-2|Q8WWI1-4|E9PMT2|Q8WWI1-5|A0A0A0MTE2	HUMAN	154694.3	51.9	43	43.1	895.32	895.32	Isoform 3 of LIM domain only protein 7	57	78	4.08e+10	51.9%
0	0.645	-0.671	3.394	3.523	3.544	3.472	3.54	5.448	3.597	5.424	Q68DQ2	Q68DQ2	1	77	62	62	Q68DQ2|Q68DQ2-1|Q68DQ2-2	HUMAN	333308.2	29	44	44.1	891.07	891.07	Very large A-kinase anchor protein	62	77	7.39e+09	29.0%
0	0.295	-0.811	4.081	3.941	4.091	4.253	4.082	3.917	4.155	4.079	P11717	P11717	1	65	60	60	P11717	HUMAN	281330.5	31.2	45	45.1	868.71	868.71	Cation-independent mannose-6-phosphate receptor	60	65	1.62e+10	31.2%
0	0.85	-0.748	3.507	3.648	3.667	3.784	3.828	5.886	3.724	5.936	O15056	O15056	1	76	55	55	O15056|O15056-2|A0A1W2PR85|O15056-3|E7ER60	HUMAN	166676	43.7	46	46.1	856.58	856.58	Synaptojanin-2	55	76	3.2e+10	43.7%
0	0.112	-0.176	0.906	1.058	0.977	1.045	0.999	1.662	0.958	1.67	Q96RQ3	Q96RQ3	1	106	48	48	Q96RQ3|E9PHF7|F5GYT8|G5E9X5|F8WDI3	HUMAN	80985.1	66	47	47.1	820.56	820.56	Methylcrotonoyl-CoA carboxylase subunit alpha mitochondrial	48	106	2.03e+11	66.0%
0	0.691	-0.996	3.642	3.732	3.689	3.941	3.845	5.265	3.782	5.364	P11021	P11021	1	85	48	44	P11021	HUMAN	72445.7	65.7	48	48.1	807.2	743.8	78 kDa glucose-regulated protein	48	85	1.1e+11	65.7%
